device_id,identity,bank,device_fingerprint,gpu_renderers,screen,os,browser,ips,country,city,subnet,timezone,os,browser,is_mobile
00993a56-f44b-448d-9d33-78c16f0be636,37294473,Bank1,b48af28979-116c56e539-9b9e431e93-87a831f69f,Intel(R) Iris(TM) Plus Graphics 655,"(1440, 900, 24)",Mac OS X 10.15.1,Chrome 78.0.3904,185.97.201.89,Russia,St Petersburg,185.97.200.0/22,Europe/Moscow,Other,Other,False
02591b70-e8f5-4299-901c-e78b2b79b526,-,Bank2,6413e837d3-987e3415d7-902dcc5844-27c94f86d9,Apple GPU,"(896, 414, 32)",iOS 12.4.1,Mobile Safari 12.1.2,"64.52.83.86,154.160.9.113,64.52.83.10",United States,,64.52.82.0/23,America/Chicago,Other,Other,True
02591b70-e8f5-4299-901c-e78b2b79b526,2577384,Bank2,6413e837d3-987e3415d7-902dcc5844-27c94f86d9,Apple GPU,"(896, 414, 32)",iOS 12.4.1,Mobile Safari 12.1.2,154.160.10.201,Ghana,Accra,154.160.0.0/20,Africa/Accra,Other,Other,True
02591b70-e8f5-4299-901c-e78b2b79b526,2577384,Bank2,6413e837d3-987e3415d7-902dcc5844-27c94f86d9,Apple GPU,"(896, 414, 32)",iOS 12.4.1,Mobile Safari 12.1.2,"64.52.83.148,64.52.83.232,154.160.9.113",United States,,64.52.82.0/23,America/Chicago,Other,Other,True
07e5a1d3-572d-4d5c-b7df-f903c9533fa7,37294473,Bank1,b48af28979-116c56e539-9b9e431e93-87a831f69f,Intel(R) Iris(TM) Plus Graphics 655,"(1440, 900, 24)",Mac OS X 10.15.1,Chrome 78.0.3904,217.66.159.132,Russia,St Petersburg,217.66.158.0/23,Europe/Moscow,Other,Other,False
0a6a1d8c-0be2-4861-922d-ac15d4ac23c2,37294473,Bank1,b48af28979-116c56e539-9b9e431e93-87a831f69f,Intel(R) Iris(TM) Plus Graphics 655,"(1440, 900, 24)",Mac OS X 10.15.1,Chrome 78.0.3904,185.97.201.65,Russia,St Petersburg,185.97.200.0/22,Europe/Moscow,Other,Other,False
0b41fbf2-5a5d-43ac-8a67-91def411f9c6,37294473,Bank1,b48af28979-116c56e539-9b9e431e93-87a831f69f,Intel(R) Iris(TM) Plus Graphics 655,"(1440, 900, 24)",Mac OS X 10.15.1,Chrome 78.0.3904,185.97.201.65,Russia,St Petersburg,185.97.200.0/22,Europe/Moscow,Other,Other,False
0d78fa6d-200e-4c39-9cbc-e834b11e460e,67853893,Bank1,6413e837d3-987e3415d7-0477bed160-27c94f86d9,Apple GPU,"(896, 414, 32)",iOS 13.3,Mobile Safari 13.0.4,31.173.80.42,Russia,Moscow,31.173.80.0/21,Europe/Moscow,Other,Other,True
0d78fa6d-200e-4c39-9cbc-e834b11e460e,67853893,Bank1,6413e837d3-987e3415d7-0477bed160-27c94f86d9,Apple GPU,"(896, 414, 32)",iOS 13.3,Mobile Safari 13.0.4,185.155.18.163,Russia,,185.155.18.0/23,Europe/Moscow,Other,Other,True
0f432be7-7bf0-4d06-ad3a-1111cf6c8efb,37294473,Bank1,b48af28979-116c56e539-9b9e431e93-87a831f69f,Intel(R) Iris(TM) Plus Graphics 655,"(1440, 900, 24)",Mac OS X 10.15.1,Chrome 78.0.3904,217.66.152.216,Russia,St Petersburg,217.66.152.0/22,Europe/Moscow,Other,Other,False
0fd9e0bc-00c9-498f-b3a1-71e9b7dc2e06,-,Bank1,6413e837d3-987e3415d7-0477bed160-27c94f86d9,Apple GPU,"(896, 414, 32)",iOS 13.3,Mobile Safari 13.0.4,185.155.18.189,Russia,,185.155.18.0/23,Europe/Moscow,Other,Other,True
